city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count,id
Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Asian,6573,163208757254
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC,Asian,4204,163208757255
Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI,White,96357,163208757256
Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,Black or African-American,4619,163208757257
Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,Hispanic or Latino,7526,163208757258
Gary,Indiana,38.1,35876.0,41478.0,77354,3952.0,1884.0,2.35,IN,Hispanic or Latino,6266,163208757259
Gary,Indiana,38.1,35876.0,41478.0,77354,3952.0,1884.0,2.35,IN,Black or African-American,61416,163208757260
Sacramento,California,33.7,237724.0,252991.0,490715,19698.0,112579.0,2.73,CA,American Indian and Alaska Native,10145,163208757261
Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,White,59742,163208757262
Macon,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,American Indian and Alaska Native,682,163208757263
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA,Asian,1785,163208757264
Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,,PR,Hispanic or Latino,69936,163208757265
Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,Asian,64386,163208757266
Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,Asian,15666,163208757267
Newark,New Jersey,34.6,138040.0,143873.0,281913,5829.0,86253.0,2.73,NJ,White,76402,171798691840
Mission,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX,White,77985,171798691841
Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,Black or African-American,29998,171798691842
Redding,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,Black or African-American,2112,171798691843
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,Hispanic or Latino,8393,171798691844
Pueblo,Colorado,37.6,55635.0,53784.0,109419,7989.0,3578.0,2.44,CO,Asian,2468,171798691845
Columbia,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,Asian,8673,171798691846
Irving,Texas,32.3,117189.0,119428.0,236617,6207.0,86756.0,2.78,TX,Hispanic or Latino,97862,171798691847
Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI,White,56175,171798691848
Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,White,146807,171798691849
Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,Hispanic or Latino,46621,171798691850
Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,Hispanic or Latino,76425,171798691851
Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,American Indian and Alaska Native,908,180388626432
Washington,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,Black or African-American,328786,180388626433
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,Hispanic or Latino,7859,180388626434
Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,Black or African-American,37355,180388626435
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,American Indian and Alaska Native,961,180388626436
Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,American Indian and Alaska Native,2915,180388626437
Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,American Indian and Alaska Native,2406,180388626438
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,American Indian and Alaska Native,237,180388626439
Pasadena,Texas,31.5,78827.0,74959.0,153786,5735.0,38072.0,2.95,TX,White,140240,180388626440
Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,Hispanic or Latino,33176,180388626441
Chesapeake,Virginia,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73,VA,White,150414,180388626442
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Hispanic or Latino,6653,180388626443
Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,Black or African-American,1912,180388626444
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,American Indian and Alaska Native,3688,180388626445
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,Hispanic or Latino,18721,180388626446
Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,White,272853,180388626447
Hialeah,Florida,43.0,111530.0,125552.0,237082,1844.0,170148.0,3.31,FL,Black or African-American,5687,180388626448
Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,American Indian and Alaska Native,158,180388626449
